id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6096,Point,178.46667,-17.8,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Waito,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6097,Point,178.4,-17.76667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Wailotua,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6098,Point,178.35,-17.95,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Vanuakula,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6099,Point,179.41667,-16.66667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Thakaundrove Province,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6100,Point,178.5,-17.83333,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Tailevu Province,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6101,Point,178.33333,-18.08333,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Rewa Province,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6102,Point,178.16667,-17.5,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Ra Province,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6103,Point,177.66667,-17.66667,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Mba Province,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6104,Point,178.21667,-17.65,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Korovou,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6105,Point,180.01667,-16.8,Feature,28261-023,26036962.020000003,THIRD ROAD UPGRADING(SECTOR) PROJECT (SUPPLEMENTARY),2013-12-31,"The original Project was aimed at helping the Government to (i)  improve the efficiency of road sector services and increase private sector participation, and (ii) improve the management of road…",26800000.0,2010-03-19,Waiyevo,Completion,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6106,Point,177.84983,-17.50136,Feature,43110-013,16159639.230000002,EMERGENCY FLOOD RECOVERY (SECTOR) PROJECT,2014-10-28,The emergency assistance loan will rehabilitate public infrastructure that was damaged by torrential rains and flooding that occurred over the Fiji Islands in January 2009,17560000.0,2009-11-05,Vatukoula,Implementation,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6107,Point,178.33333,-18.08333,Feature,43110-013,16159639.230000002,EMERGENCY FLOOD RECOVERY (SECTOR) PROJECT,2014-10-28,The emergency assistance loan will rehabilitate public infrastructure that was damaged by torrential rains and flooding that occurred over the Fiji Islands in January 2009,17560000.0,2009-11-05,Rewa Province,Implementation,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6108,Point,178.16667,-17.5,Feature,43110-013,16159639.230000002,EMERGENCY FLOOD RECOVERY (SECTOR) PROJECT,2014-10-28,The emergency assistance loan will rehabilitate public infrastructure that was damaged by torrential rains and flooding that occurred over the Fiji Islands in January 2009,17560000.0,2009-11-05,Ra Province,Implementation,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6109,Point,178.15,-17.36667,Feature,43110-013,16159639.230000002,EMERGENCY FLOOD RECOVERY (SECTOR) PROJECT,2014-10-28,The emergency assistance loan will rehabilitate public infrastructure that was damaged by torrential rains and flooding that occurred over the Fiji Islands in January 2009,17560000.0,2009-11-05,Rakiraki,Implementation,Transport,
FJ,FeatureCollection,Fiji,165,-21.711114190999893,195,-12.475274346999882,6110,Point,177.96667,-17.56667,Feature,43110-013,16159639.230000002,EMERGENCY FLOOD RECOVERY (SECTOR) PROJECT,2014-10-28,The emergency assistance loan will rehabilitate public infrastructure that was damaged by torrential rains and flooding that occurred over the Fiji Islands in January 2009,17560000.0,2009-11-05,Nandarivatu,Implementation,Transport,
