id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1328,Point,73.1,6.23333,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Shaviyani Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1329,Point,73.16667,-0.63333,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Seenu Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1330,Point,73.42472,-0.29663,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Gnyaviyani Atoll,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1331,Point,72.86667,6.61667,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Haa Dhaalu Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1332,Point,73.0,7.0,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Haa Alifu Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1333,Point,73.16667,0.41667,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Gaafu Dhaalu Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1334,Point,73.28333,0.61667,Feature,41149-013,6276094.05,PRIVATE SECTOR DEVELOPMENT PROJECT,2013-02-28,"The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive…",7500000.0,2009-01-13,Gaafu Alifu Atholhu,Completion,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1335,Point,73.25,-0.5,Feature,43566-013,1177514.5,"INCLUSIVE MICRO,SMALL & MEDIUM-SIZED ENTERPRISE DEVL PROJECT",2016-12-31,"The Asian Development Bank initiated the Private Sector Development Project (PSDP) loan in 2008 which was intended to develop and expand the micro-, small-, and medium-sized enterprise (MSME)…",5570000.0,2012-09-20,South Province,Implementation,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1336,Point,73.25,0.5,Feature,43566-013,1177514.5,"INCLUSIVE MICRO,SMALL & MEDIUM-SIZED ENTERPRISE DEVL PROJECT",2016-12-31,"The Asian Development Bank initiated the Private Sector Development Project (PSDP) loan in 2008 which was intended to develop and expand the micro-, small-, and medium-sized enterprise (MSME)…",5570000.0,2012-09-20,Upper South Province,Implementation,Industry and trade,
MV,FeatureCollection,Maldives,72.684825066,-0.688571872999901,73.75318444100017,7.107245184000149,1337,Point,73.0,6.5,Feature,43566-013,1177514.5,"INCLUSIVE MICRO,SMALL & MEDIUM-SIZED ENTERPRISE DEVL PROJECT",2016-12-31,"The Asian Development Bank initiated the Private Sector Development Project (PSDP) loan in 2008 which was intended to develop and expand the micro-, small-, and medium-sized enterprise (MSME)…",5570000.0,2012-09-20,Upper North Province,Implementation,Industry and trade,
